Identificador;CNPJ responsavel;C¢digo URF;C¢digo RA;Chave Nfe;CPF/CNPJ Transportador;CPF Condutor;Peso Aferido;Observa‡“es gerais;;
20210000106;02003402000760;0817800;8931321;35210353309845000120550010003466091486438471;02057102000179;;32790.000;N?o se aplica;;
20210000107;02003402000760;0817800;8931321;35210353309845000120550010003466211866572956;02057102000179;;32620.000;N?o se aplica;;
20210000108;02003402000760;0817800;8931321;35210353309845000120550010003466171801128722;02057102000179;;32110.000;N?o se aplica;;
20210000109;02003402000760;0817800;8931321;35210353309845000120550010003466181347409030;02057102000179;;32490.000;N?o se aplica;;
20210000110;02003402000760;0817800;8931321;35210353309845000120550010003466421660975290;11525553000184;;31340.000;N?o se aplica;;
20210000111;02003402000760;0817800;8931321;35210353309845000120550010003466451103669374;11525553000184;;27450.000;N?o se aplica;;
20210000112;02003402000760;0817800;8931321;35210353309845000120550010003466691906673115;02057102000179;;31540.000;N?o se aplica;;
20210000113;02003402000760;0817800;8931321;35210353309845000120550010003466351906084995;11525553000184;;32450.000;N?o se aplica;;
20210000114;02003402000760;0817800;8931321;35210353309845000120550010003466201658325812;02057102000179;;32770.000;N?o se aplica;;
20210000115;02003402000760;0817800;8931321;35210353309845000120550010003466741684152726;11525553000184;;32180.000;N?o se aplica;;
20210000116;02003402000760;0817800;8931321;35210353309845000120550010003466251957109344;02057102000179;;32250.000;N?o se aplica;;
20210000117;02003402000760;0817800;8931321;35210353309845000120550010003466791615882113;02057102000179;;38260.000;N?o se aplica;;
20210000118;02003402000760;0817800;8931321;35210353309845000120550010003466861161973610;02057102000179;;31620.000;N?o se aplica;;
20210000119;02003402000760;0817800;8931321;35210353309845000120550010003466931605559939;02057102000179;;32060.000;N?o se aplica;;
20210000120;02003402000760;0817800;8931321;35210353309845000120550010003466951324719740;02057102000179;;32420.000;N?o se aplica;;
20210000121;02003402000760;0817800;8931321;35210353309845000120550010003466901306445646;02057102000179;;32120.000;N?o se aplica;;
20210000122;02003402000760;0817800;8931321;35210353309845000120550010003466911525980366;02057102000179;;31610.000;N?o se aplica;;
20210000123;02003402000760;0817800;8931321;35210353309845000120550010003466871174955752;02057102000179;;32400.000;N?o se aplica;;
20210000124;02003402000760;0817800;8931321;35210353309845000120550010003466821176967158;02057102000179;;32380.000;N?o se aplica;;
20210000125;02003402000760;0817800;8931321;35210353309845000120550010003467381948741703;11525553000184;;31960.000;N?o se aplica;;
20210000126;02003402000760;0817800;8931321;35210353309845000120550010003467401186054827;11525553000184;;32430.000;N?o se aplica;;
20210000127;02003402000760;0817800;8931321;35210353309845000120550010003466791615882113;02057102000179;;38260.000;N?o se aplica;;
20210000128;02003402000760;0817800;8931321;35210353309845000120550010003466791615882113;02057102000179;;38260.000;N?o se aplica;;
20210000129;02003402000760;0817800;8931321;35210353309845000120550010003466791615882113;02057102000179;;38260.000;N?o se aplica;;
20210000130;02003402000760;0817800;8931321;35210345330984500012055001000346774112089040;02057102000179;;41170.000;N?o se aplica;;
20210000131;02003402000760;0817800;8931321;35210353309845000120550010003467591699270877;11525553000184;;31910.000;N?o se aplica;;
20210000132;02003402000760;0817800;8931321;35210353309845000120550010003467651419031815;11525553000184;;36390.000;N?o se aplica;;
20210000133;02003402000760;0817800;8931321;35210353309845000120550010003466401527574307;02057102000179;;32310.000;N?o se aplica;;
20210000134;02003402000760;0817800;8931321;35210353309845000120550010003467691297246340;02057102000179;;37010.000;N?o se aplica;;
20210000135;02003402000760;0817800;8931321;35210353309845000120550010003467411918073309;11525553000184;;32270.000;N?o se aplica;;
20210000136;02003402000760;0817800;8931321;35210353309845000120550010003467491780761196;11525553000184;;31940.000;N?o se aplica;;
20210000137;02003402000760;0817800;8931321;35210353309845000120550010003467461498442729;11525553000184;;37960.000;N?o se aplica;;
20210000138;02003402000760;0817800;8931321;35210353309845000120550010003469491227435834;11525553000184;;26660.000;N?o se aplica;;
20210000139;02003402000760;0817800;8931321;35210353309845000120550010003467531627782363;11525553000184;;37690.000;N?o se aplica;;
20210000140;02003402000760;0817800;8931321;35210353309845000120550010003469871334294607;02057102000179;;48140.000;N?o se aplica;;
20210000141;02003402000760;0817800;8931321;35210353309845000120550010003469931174460323;02057102000179;;40050.000;N?o se aplica;;
20210000142;02003402000760;0817800;8931321;35210353309845000120550010003469881415030356;11525553000184;;32340.000;N?o se aplica;;
20210000143;02003402000760;0817800;8931321;35210353309845000120550010003470051621365964;11525553000184;;26220.000;N?o se aplica;;
20210000144;02003402000760;0817800;8931321;35210353309845000120550010003469021254664630;03286888000754;;31770.000;N?o se aplica;;
20210000145;02003402000760;0817800;8931321;35210353309845000120550010003469651312697620;02057102000179;;31720.000;N?o se aplica;;
20210000146;02003402000760;0817800;8931321;35210353309845000120550010003469951543844466;02057102000179;;32480.000;N?o se aplica;;
20210000147;02003402000760;0817800;8931321;35210353309845000120550010003469801966480457;02057102000179;;47840.000;N?o se aplica;;
20210000148;02003402000760;0817800;8931321;35210353309845000120550010003469411526317533;11525553000184;;47550.000;N?o se aplica;;
20210000149;02003402000760;0817800;8931321;35210353309845000120550010003469461668936280;11525553000184;;48230.000;N?o se aplica;;
20210000150;02003402000760;0817800;8931321;35210353309854500012055001000346977154923974;02057102000179;;31850.000;N?o se aplica;;
20210000151;02003402000760;0817800;8931321;35210353309845000120550010003469621144571643;02057102000179;;31150.000;N?o se aplica;;
